#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
jackhmmer,pfam21_P91550_P91550_CAEEL,,,,,13097.14,98.14,13195.28
jackhmmer,pfam21_Q1SJT6_Q1SJT6_MEDTR,,,,,1760.52,18.70,1779.22
jackhmmer,pfam21_Q1TLH7_Q1TLH7_9MYCO,,,,,1754.98,19.98,1774.96
jackhmmer,pfam21_Q1UW50_Q1UW50_9MYCO,,,,,611.62,4.84,616.46
jackhmmer,pfam21_Q1X4C5_Q1X4C5_9FIRM,,,,,1016.79,10.22,1027.01
jackhmmer,pfam21_Q25VU5_Q25VU5_MYCVN,,,,,21235.28,222.04,21457.32
jackhmmer,pfam21_Q26XD4_Q26XD4_XANP2,,,,,1270.53,18.00,1288.53
jackhmmer,pfam21_Q2ADF8_Q2ADF8_9FIRM,,,,,13268.48,70.38,13338.86
jackhmmer,pfam21_Q2AJQ0_Q2AJQ0_9BACI,,,,,1365.62,20.17,1385.79
jackhmmer,pfam21_Q2DA32_Q2DA32_ACICY,,,,,1004.24,6.99,1011.23
jackhmmer,pfam21_Q2DXF2_Q2DXF2_ACICE,,,,,903.61,6.19,909.80
jackhmmer,pfam21_Q2E3P2_Q2E3P2_BACCE,,,,,339.09,6.28,345.37
jackhmmer,pfam21_Q2PMV6_Q2PMV6_CYPCA,,,,,1624.19,15.47,1639.66
jackhmmer,pfam21_Q2WVX8_Q2WVX8_CLOBE,,,,,1512.72,7.98,1520.70
jackhmmer,pfam21_Q2X521_Q2X521_9GAMM,,,,,4064.33,42.14,4106.47
jackhmmer,pfam21_Q2XA71_Q2XA71_PSEPU,,,,,949.70,7.00,956.70
jackhmmer,pfam21_Q2XGT8_Q2XGT8_PSEPU,,,,,4651.92,46.29,4698.21
jackhmmer,pfam21_Q33PF7_Q33PF7_9GAMM,,,,,1922.88,27.50,1950.38
jackhmmer,pfam21_Q33Q29_Q33Q29_9GAMM,,,,,1017.16,7.72,1024.88
jackhmmer,pfam21_Q33UM2_Q33UM2_9GAMM,,,,,694.78,4.19,698.97
jackhmmer,pfam21_Q35BE1_Q35BE1_9BRAD,,,,,5435.54,14.52,5450.06
jackhmmer,pfam21_Q35QU1_Q35QU1_9BRAD,,,,,890.51,5.54,896.05
jackhmmer,pfam21_Q379A0_Q379A0_RHOPA,,,,,11161.62,32.49,11194.11
jackhmmer,pfam21_Q3E4Z0_Q3E4Z0_CHLAU,,,,,3239.28,39.47,3278.75
jackhmmer,pfam21_Q3NZS0_Q3NZS0_9GAMM,,,,,1395.75,9.19,1404.94
jackhmmer,pfam21_Q3QAK9_Q3QAK9_9GAMM,,,,,2447.92,21.60,2469.52
jackhmmer,pfam21_Q3W1C5_Q3W1C5_9ACTO,,,,,11065.18,339.82,11405.00
jackhmmer,pfam21_Q3XMF2_Q3XMF2_9PROT,,,,,1302.30,12.52,1314.82
jackhmmer,pfam21_Q3XPL5_Q3XPL5_9PROT,,,,,5492.01,17.72,5509.73
jackhmmer,pfam21_Q3XUR7_Q3XUR7_9PROT,,,,,13301.96,43.55,13345.51
jackhmmer,pfam21_Q41PP5_Q41PP5_METBU,,,,,1248.86,13.99,1262.85
jackhmmer,pfam21_Q41RI4_Q41RI4_FERAC,,,,,985.39,11.54,996.93
jackhmmer,pfam21_Q423K9_Q423K9_DESHA,,,,,5444.18,33.86,5478.04
jackhmmer,pfam21_Q4APA8_Q4APA8_9CHLB,,,,,835.18,6.86,842.04
jackhmmer,pfam21_Q4B4K0_Q4B4K0_9BURK,,,,,960.97,5.43,966.40
jackhmmer,pfam21_Q4BJJ7_Q4BJJ7_BURVI,,,,,4037.85,41.84,4079.69
jackhmmer,pfam21_Q4BNE7_Q4BNE7_BURVI,,,,,5942.49,30.58,5973.07
jackhmmer,pfam21_Q4BSM5_Q4BSM5_BURVI,,,,,2364.97,11.72,2376.69
jackhmmer,pfam21_Q4IEI3_Q4IEI3_GIBZE,,,,,8403.19,36.82,8440.01
jackhmmer,pfam21_Q4ING2_Q4ING2_GIBZE,,,,,10545.31,54.04,10599.35
jackhmmer,pfam21_Q4LSB6_Q4LSB6_9BURK,,,,,1865.33,20.65,1885.98
jackhmmer,pfam21_Q50PU3_Q50PU3_ENTHI,,,,,5123.79,25.69,5149.48
jackhmmer,pfam21_Q50QX4_Q50QX4_ENTHI,,,,,9069.41,59.46,9128.87
jackhmmer,pfam21_Q6BS14_Q6BS14_DEBHA,,,,,2980.72,23.27,3003.99
