

tap.pl 1.8

EPQ (Threshold for 0.5 Quantile)	Unweighted Average TAP
1 (1.1e-155)	0.2043

Individual Retrieval Lists and Their TAPs
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8NQK1_Q8NQK1_CORGL.phmmer/up_Q8NQK1_Q8NQK1_CORGL.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q6Z6U9_Q6Z6U9_ORYSJ.phmmer/up_Q6Z6U9_Q6Z6U9_ORYSJ.phmmer.spouge.1000	0.0476
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q1N5Y1_Q1N5Y1_9GAMM.phmmer/up_Q1N5Y1_Q1N5Y1_9GAMM.phmmer.spouge.1000	0.1429
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q39TR9_Q39TR9_GEOMG.phmmer/up_Q39TR9_Q39TR9_GEOMG.phmmer.spouge.1000	0.0053
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8X0Y8_Q8X0Y8_METAN.phmmer/up_Q8X0Y8_Q8X0Y8_METAN.phmmer.spouge.1000	0.0749
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q87SD0_Q87SD0_VIBPA.phmmer/up_Q87SD0_Q87SD0_VIBPA.phmmer.spouge.1000	0.9699
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q92452_GOX_TALFL.phmmer/up_Q92452_GOX_TALFL.phmmer.spouge.1000	0.0152
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3TX27_Q3TX27_MOUSE.phmmer/up_Q3TX27_Q3TX27_MOUSE.phmmer.spouge.1000	0.1010
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2LXV6_Q2LXV6_SYNAS.phmmer/up_Q2LXV6_Q2LXV6_SYNAS.phmmer.spouge.1000	0.0493
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q1V6G1_Q1V6G1_VIBAL.phmmer/up_Q1V6G1_Q1V6G1_VIBAL.phmmer.spouge.1000	0.0119
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q3NZS0_Q3NZS0_9GAMM.phmmer/pfam21_Q3NZS0_Q3NZS0_9GAMM.phmmer.spouge.1000	0.3607
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4MPF9_Q4MPF9_BACCE.phmmer/up_Q4MPF9_Q4MPF9_BACCE.phmmer.spouge.1000	0.0788
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q45155_Q45155_BACFR.phmmer/up_Q45155_Q45155_BACFR.phmmer.spouge.1000	0.0085
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3B2B0_Q3B2B0_PELLD.phmmer/up_Q3B2B0_Q3B2B0_PELLD.phmmer.spouge.1000	0.1758
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2SUV4_Q2SUV4_BURTA.phmmer/up_Q2SUV4_Q2SUV4_BURTA.phmmer.spouge.1000	0.2076
