

tap.pl 1.8

EPQ (Threshold for 0.5 Quantile)	Unweighted Average TAP
1 (1e-88)	0.2567

Individual Retrieval Lists and Their TAPs
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q8NQK1_Q8NQK1_CORGL.psiblast-non_iterative/up_Q8NQK1_Q8NQK1_CORGL.psiblast-non_iterative.spouge.1000	0.0034
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q6Z6U9_Q6Z6U9_ORYSJ.psiblast-non_iterative/up_Q6Z6U9_Q6Z6U9_ORYSJ.psiblast-non_iterative.spouge.1000	0.0720
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q1N5Y1_Q1N5Y1_9GAMM.psiblast-non_iterative/up_Q1N5Y1_Q1N5Y1_9GAMM.psiblast-non_iterative.spouge.1000	0.4821
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q39TR9_Q39TR9_GEOMG.psiblast-non_iterative/up_Q39TR9_Q39TR9_GEOMG.psiblast-non_iterative.spouge.1000	0.0165
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q8X0Y8_Q8X0Y8_METAN.psiblast-non_iterative/up_Q8X0Y8_Q8X0Y8_METAN.psiblast-non_iterative.spouge.1000	0.0470
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q87SD0_Q87SD0_VIBPA.psiblast-non_iterative/up_Q87SD0_Q87SD0_VIBPA.psiblast-non_iterative.spouge.1000	0.1339
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q92452_GOX_TALFL.psiblast-non_iterative/up_Q92452_GOX_TALFL.psiblast-non_iterative.spouge.1000	0.0186
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q3TX27_Q3TX27_MOUSE.psiblast-non_iterative/up_Q3TX27_Q3TX27_MOUSE.psiblast-non_iterative.spouge.1000	0.8182
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast-non_iterative/up_Q2LXV6_Q2LXV6_SYNAS.psiblast-non_iterative/up_Q2LXV6_Q2LXV6_SYNAS.psiblast-non_iterative.spouge.1000	0.0490
