#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_P91550_P91550_CAEEL,,,,,,7959.22,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q1SJT6_Q1SJT6_MEDTR,,,,,,5339.83,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q1TLH7_Q1TLH7_9MYCO,,,,,,5362.89,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q1UW50_Q1UW50_9MYCO,,,,,,1397.24,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q1X4C5_Q1X4C5_9FIRM,,,,,,2584.84,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q25VU5_Q25VU5_MYCVN,,,,,,13563.87,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q26XD4_Q26XD4_XANP2,,,,,,3380.95,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2ADF8_Q2ADF8_9FIRM,,,,,,3682.25,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2AJQ0_Q2AJQ0_9BACI,,,,,,7042.61,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2DA32_Q2DA32_ACICY,,,,,,3005.24,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2DXF2_Q2DXF2_ACICE,,,,,,2529.45,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2E3P2_Q2E3P2_BACCE,,,,,,526.37,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2PMV6_Q2PMV6_CYPCA,,,,,,4616.81,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2WVX8_Q2WVX8_CLOBE,,,,,,3359.44,
psisemiglobal-non_iterative-global_pssm-targetBlockLen30,pfam21_Q2X521_Q2X521_9GAMM,,,,,,7935.20,
