#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
psiblast,pfam21_P91550_P91550_CAEEL,,,,,3630.32,30.03,3660.35
psiblast,pfam21_Q1SJT6_Q1SJT6_MEDTR,,,,,2609.59,17.15,2626.74
psiblast,pfam21_Q1TLH7_Q1TLH7_9MYCO,,,,,4531.75,31.08,4562.83
psiblast,pfam21_Q1UW50_Q1UW50_9MYCO,,,,,2717.85,25.47,2743.32
psiblast,pfam21_Q1X4C5_Q1X4C5_9FIRM,,,,,3199.63,23.76,3223.39
psiblast,pfam21_Q25VU5_Q25VU5_MYCVN,,,,,11935.79,105.95,12041.74
psiblast,pfam21_Q26XD4_Q26XD4_XANP2,,,,,3058.07,25.83,3083.90
psiblast,pfam21_Q2ADF8_Q2ADF8_9FIRM,,,,,3148.86,32.12,3180.98
psiblast,pfam21_Q2AJQ0_Q2AJQ0_9BACI,,,,,3566.83,25.38,3592.21
psiblast,pfam21_Q2DA32_Q2DA32_ACICY,,,,,3381.92,22.39,3404.31
psiblast,pfam21_Q2DXF2_Q2DXF2_ACICE,,,,,1988.40,13.20,2001.60
psiblast,pfam21_Q2E3P2_Q2E3P2_BACCE,,,,,1685.72,62.49,1748.21
psiblast,pfam21_Q2PMV6_Q2PMV6_CYPCA,,,,,2692.39,20.97,2713.36
psiblast,pfam21_Q2WVX8_Q2WVX8_CLOBE,,,,,3317.90,23.66,3341.56
psiblast,pfam21_Q2X521_Q2X521_9GAMM,,,,,5591.58,45.79,5637.37
psiblast,pfam21_Q2XA71_Q2XA71_PSEPU,,,,,2740.66,18.62,2759.28
psiblast,pfam21_Q2XGT8_Q2XGT8_PSEPU,,,,,4337.52,32.22,4369.74
psiblast,pfam21_Q33PF7_Q33PF7_9GAMM,,,,,6268.84,46.62,6315.46
psiblast,pfam21_Q33Q29_Q33Q29_9GAMM,,,,,3802.92,27.62,3830.54
psiblast,pfam21_Q33UM2_Q33UM2_9GAMM,,,,,3148.96,25.02,3173.98
psiblast,pfam21_Q35BE1_Q35BE1_9BRAD,,,,,3384.75,21.16,3405.91
psiblast,pfam21_Q35QU1_Q35QU1_9BRAD,,,,,2804.34,19.52,2823.86
psiblast,pfam21_Q379A0_Q379A0_RHOPA,,,,,3623.54,50.41,3673.95
psiblast,pfam21_Q3E4Z0_Q3E4Z0_CHLAU,,,,,2419.69,29.90,2449.59
