#DA_ID	Random_Taxon	Shortest_Taxon	Longest_Taxon
da00000	up_Q5GJ59_Q5GJ59_MAIZE	up_Q9XGU1_Q9XGU1_ARTAN	up_Q2PPA4_Q2PPA4_GIBIN
da00001	up_Q8K1F4_Q8K1F4_MOUSE	up_O88966_O88966_MOUSE	up_Q22637_Q22637_CAEEL
da00002	pfam21_Q5KB65_Q5KB65_CRYNE	up_Q9DFL6_Q9DFL6_GILMI	up_Q4QIL3_Q4QIL3_LEIMA
da00003	pfam21_P06238_A2MG_RAT	pfam21_Q6IE37_Q6IE37_HUMAN	up_Q8T398_Q8T398_CIOIN
da00004	up_Q8NQK1_Q8NQK1_CORGL	up_Q9ZIC9_Q9ZIC9_LISMO	up_Q5KH49_Q5KH49_CRYNE
da00005	up_Q8W1C1_Q8W1C1_BRAJU	up_Q9STI4_Q9STI4_ARATH	up_Q4P912_Q4P912_USTMA
da00006	up_Q06076_ABRD_ABRPR	up_Q5C8A3_Q5C8A3_9FABA	up_Q9M654_Q9M654_POLML
da00007	up_Q6Z6U9_Q6Z6U9_ORYSJ	pfam21_Q9XW61_Q9XW61_CAEEL	pfam21_Q22VK2_Q22VK2_TETTH
da00008	up_Q4JFF1_Q4JFF1_STRVR	pfam21_Q3MVF2_Q3MVF2_9DELT	pfam21_Q3X316_Q3X316_9ACTN
da00009	up_Q1N5Y1_Q1N5Y1_9GAMM	up_Q3YJ39_Q3YJ39_HAEPR	pfam21_Q7CVQ5_Q7CVQ5_AGRT5
da00010	up_Q31GX6_Q31GX6_THICR	up_Q97Y20_Q97Y20_SULSO	up_Q4JWD8_Q4JWD8_CORJK
da00011	up_Q9HWM9_Q9HWM9_PSEAE	up_Q59695_ACOC_PSEPU	pfam21_Q3PAN0_Q3PAN0_PARDE
da00012	up_Q6H5A1_Q6H5A1_ORYSJ	up_Q30DV3_Q30DV3_SHEEP	up_Q22LI1_Q22LI1_TETTH
da00014	up_Q39TR9_Q39TR9_GEOMG	up_Q3YJN2_Q3YJN2_9RHOB	pfam21_Q4BAZ6_Q4BAZ6_BURVI
da00015	up_Q3D950_Q3D950_STRAG	up_Q9CG08_Q9CG08_LACLA	up_Q6G6R5_Q6G6R5_STAAS
da00016	up_Q8XHF4_Q8XHF4_CLOPE	pfam21_Q51C70_Q51C70_ENTHI	up_Q1RS84_Q1RS84_CHLRE
da00017	up_Q9FV24_Q9FV24_SOLLC	up_O44233_O44233_BOMMO	up_Q4P9E9_Q4P9E9_USTMA
da00018	up_Q9R1L4_Q9R1L4_RAT	up_O77818_O77818_PIG	up_Q5BL94_Q5BL94_XENTR
da00019	up_Q8X0Y8_Q8X0Y8_METAN	up_Q5XP04_Q5XP04_9ACTO	pfam21_Q33TB2_Q33TB2_9GAMM
da00020	up_Q4TAT6_Q4TAT6_TETNG	up_Q9PTE5_Q9PTE5_XENLA	pfam21_Q620C1_Q620C1_CAEBR
da00021	up_Q8GUD7_Q8GUD7_HEVBR	up_Q6S737_Q6S737_PICAB	up_Q6R8K3_Q6R8K3_MUSAC
da00022	up_Q7SXT5_Q7SXT5_DANRE	up_Q9X5D3_Q9X5D3_CORGL	up_Q7RR79_Q7RR79_PLAYO
