#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_P91550_P91550_CAEEL,,,,,22755.85,9567.40,32323.25
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q1SJT6_Q1SJT6_MEDTR,,,,,18375.88,5495.66,23871.54
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q1TLH7_Q1TLH7_9MYCO,,,,,17190.75,4677.02,21867.77
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q1UW50_Q1UW50_9MYCO,,,,,8322.91,1485.49,9808.40
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q1X4C5_Q1X4C5_9FIRM,,,,,12845.41,2896.04,15741.45
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q25VU5_Q25VU5_MYCVN,,,,,38521.21,12073.91,50595.12
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q26XD4_Q26XD4_XANP2,,,,,15754.23,4602.59,20356.82
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2ADF8_Q2ADF8_9FIRM,,,,,13946.69,3414.18,17360.87
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2AJQ0_Q2AJQ0_9BACI,,,,,12060.86,4027.22,16088.08
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2DA32_Q2DA32_ACICY,,,,,12584.12,3959.55,16543.67
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2DXF2_Q2DXF2_ACICE,,,,,8815.62,1881.69,10697.31
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2E3P2_Q2E3P2_BACCE,,,,,3135.20,477.31,3612.51
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2PMV6_Q2PMV6_CYPCA,,,,,16317.06,5452.74,21769.80
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2WVX8_Q2WVX8_CLOBE,,,,,8267.07,4651.16,12918.23
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2X521_Q2X521_9GAMM,,,,,17451.75,7715.26,25167.01
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2XA71_Q2XA71_PSEPU,,,,,14211.38,2301.10,16512.48
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q2XGT8_Q2XGT8_PSEPU,,,,,32928.02,9567.55,42495.57
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q33PF7_Q33PF7_9GAMM,,,,,18637.04,6475.19,25112.23
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q33Q29_Q33Q29_9GAMM,,,,,14987.73,6336.16,21323.89
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q33UM2_Q33UM2_9GAMM,,,,,7816.22,1754.82,9571.04
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q35BE1_Q35BE1_9BRAD,,,,,15533.20,3871.92,19405.12
psisemiglobal-iterative-global_pssm-targetBlockLen30,pfam21_Q35QU1_Q35QU1_9BRAD,,,,,9406.62,2206.45,11613.07
