#number_residues	query_file
170	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2VMY9_Q2VMY9_9MICO.fa
180	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3BAB4_Q3BAB4_RHIET.fa
189	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4HNM3_Q4HNM3_CAMUP.fa
198	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4LD27_Q4LD27_MICAE.fa
207	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2E3P2_Q2E3P2_BACCE.fa
239	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9C4F5_Q9C4F5_9EURY.fa
251	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4EMH3_Q4EMH3_LISMO.fa
258	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O66971_O66971_AQUAE.fa
260	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6TBN8_Q6TBN8_9NOST.fa
277	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9EUC7_Q9EUC7_9PSED.fa
281	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q64E48_Q64E48_9ARCH.fa
290	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q21HH3_EFTS_SACD2.fa
292	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q56VB0_Q56VB0_TRYCR.fa
300	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2A5R3_HEM3_FRATH.fa
303	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6SHL8_Q6SHL8_9BACT.fa
304	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3KDT6_Q3KDT6_PSEPF.fa
305	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q82FN8_Q82FN8_STRAW.fa
305	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8THK3_GUAAB_METAC.fa
310	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4YGK9_Q4YGK9_PLABE.fa
311	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_P67637_XERD_MYCBO.fa
313	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1NJ45_Q1NJ45_9DELT.fa
330	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q1UW50_Q1UW50_9MYCO.fa
330	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6XPZ9_Q6XPZ9_FUNHE.fa
332	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3M1J1_Q3M1J1_ANAVT.fa
334	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1V6G1_Q1V6G1_VIBAL.fa
338	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2JS57_Q2JS57_SYNJA.fa
338	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5WE61_Q5WE61_BACSK.fa
339	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_P37383_RAD51_CHICK.fa
339	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5GMK2_Q5GMK2_9BACT.fa
344	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9FV21_Q9FV21_SOLLC.fa
349	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4FTY9_Q4FTY9_PSYA2.fa
350	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q20WY3_Q20WY3_RHOPB.fa
352	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2GK25_OBG_ANAPZ.fa
353	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5P3K0_ALR_AZOSE.fa
