

tap.pl 1.8

EPQ (Threshold for 0.5 Quantile)	Unweighted Average TAP
1 (2e-178)	0.3276

Individual Retrieval Lists and Their TAPs
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q8NQK1_Q8NQK1_CORGL.psiblast/up_Q8NQK1_Q8NQK1_CORGL.psiblast.spouge.1000	0.1810
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q6Z6U9_Q6Z6U9_ORYSJ.psiblast/up_Q6Z6U9_Q6Z6U9_ORYSJ.psiblast.spouge.1000	0.0777
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q1N5Y1_Q1N5Y1_9GAMM.psiblast/up_Q1N5Y1_Q1N5Y1_9GAMM.psiblast.spouge.1000	0.9847
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q39TR9_Q39TR9_GEOMG.psiblast/up_Q39TR9_Q39TR9_GEOMG.psiblast.spouge.1000	0.1540
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q8X0Y8_Q8X0Y8_METAN.psiblast/up_Q8X0Y8_Q8X0Y8_METAN.psiblast.spouge.1000	0.0474
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q87SD0_Q87SD0_VIBPA.psiblast/up_Q87SD0_Q87SD0_VIBPA.psiblast.spouge.1000	0.1424
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q92452_GOX_TALFL.psiblast/up_Q92452_GOX_TALFL.psiblast.spouge.1000	0.5140
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q3TX27_Q3TX27_MOUSE.psiblast/up_Q3TX27_Q3TX27_MOUSE.psiblast.spouge.1000	0.5387
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q2LXV6_Q2LXV6_SYNAS.psiblast/up_Q2LXV6_Q2LXV6_SYNAS.psiblast.spouge.1000	0.3916
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q1V6G1_Q1V6G1_VIBAL.psiblast/up_Q1V6G1_Q1V6G1_VIBAL.psiblast.spouge.1000	0.0603
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/pfam21_Q3NZS0_Q3NZS0_9GAMM.psiblast/pfam21_Q3NZS0_Q3NZS0_9GAMM.psiblast.spouge.1000	0.9516
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q4MPF9_Q4MPF9_BACCE.psiblast/up_Q4MPF9_Q4MPF9_BACCE.psiblast.spouge.1000	0.5109
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q45155_Q45155_BACFR.psiblast/up_Q45155_Q45155_BACFR.psiblast.spouge.1000	0.3860
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/psiblast/up_Q3B2B0_Q3B2B0_PELLD.psiblast/up_Q3B2B0_Q3B2B0_PELLD.psiblast.spouge.1000	0.0370
