#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
psiblast-non_iterative,pfam21_P91550_P91550_CAEEL,,,,,,26.11,
psiblast-non_iterative,pfam21_Q1SJT6_Q1SJT6_MEDTR,,,,,,17.15,
psiblast-non_iterative,pfam21_Q1TLH7_Q1TLH7_9MYCO,,,,,,55.24,
psiblast-non_iterative,pfam21_Q1UW50_Q1UW50_9MYCO,,,,,,34.89,
psiblast-non_iterative,pfam21_Q1X4C5_Q1X4C5_9FIRM,,,,,,21.86,
psiblast-non_iterative,pfam21_Q25VU5_Q25VU5_MYCVN,,,,,,42.37,
psiblast-non_iterative,pfam21_Q26XD4_Q26XD4_XANP2,,,,,,23.80,
psiblast-non_iterative,pfam21_Q2ADF8_Q2ADF8_9FIRM,,,,,,20.35,
psiblast-non_iterative,pfam21_Q2AJQ0_Q2AJQ0_9BACI,,,,,,21.53,
psiblast-non_iterative,pfam21_Q2DA32_Q2DA32_ACICY,,,,,,22.32,
psiblast-non_iterative,pfam21_Q2DXF2_Q2DXF2_ACICE,,,,,,18.23,
psiblast-non_iterative,pfam21_Q2E3P2_Q2E3P2_BACCE,,,,,,12.50,
psiblast-non_iterative,pfam21_Q2PMV6_Q2PMV6_CYPCA,,,,,,14.29,
psiblast-non_iterative,pfam21_Q2WVX8_Q2WVX8_CLOBE,,,,,,49.40,
psiblast-non_iterative,pfam21_Q2X521_Q2X521_9GAMM,,,,,,28.43,
psiblast-non_iterative,pfam21_Q2XA71_Q2XA71_PSEPU,,,,,,12.65,
psiblast-non_iterative,pfam21_Q2XGT8_Q2XGT8_PSEPU,,,,,,32.40,
psiblast-non_iterative,pfam21_Q33PF7_Q33PF7_9GAMM,,,,,,37.05,
psiblast-non_iterative,pfam21_Q33Q29_Q33Q29_9GAMM,,,,,,23.96,
psiblast-non_iterative,pfam21_Q33UM2_Q33UM2_9GAMM,,,,,,18.16,
psiblast-non_iterative,pfam21_Q35BE1_Q35BE1_9BRAD,,,,,,17.04,
psiblast-non_iterative,pfam21_Q35QU1_Q35QU1_9BRAD,,,,,,13.20,
psiblast-non_iterative,pfam21_Q379A0_Q379A0_RHOPA,,,,,,31.98,
psiblast-non_iterative,pfam21_Q3E4Z0_Q3E4Z0_CHLAU,,,,,,19.66,
psiblast-non_iterative,pfam21_Q3NZS0_Q3NZS0_9GAMM,,,,,,14.82,
psiblast-non_iterative,pfam21_Q3QAK9_Q3QAK9_9GAMM,,,,,,23.05,
psiblast-non_iterative,pfam21_Q3W1C5_Q3W1C5_9ACTO,,,,,,44.40,
psiblast-non_iterative,pfam21_Q3XMF2_Q3XMF2_9PROT,,,,,,20.26,
psiblast-non_iterative,pfam21_Q3XPL5_Q3XPL5_9PROT,,,,,,16.80,
psiblast-non_iterative,pfam21_Q3XUR7_Q3XUR7_9PROT,,,,,,26.35,
psiblast-non_iterative,pfam21_Q41PP5_Q41PP5_METBU,,,,,,14.67,
psiblast-non_iterative,pfam21_Q41RI4_Q41RI4_FERAC,,,,,,27.79,
psiblast-non_iterative,pfam21_Q423K9_Q423K9_DESHA,,,,,,28.23,
psiblast-non_iterative,pfam21_Q4APA8_Q4APA8_9CHLB,,,,,,23.78,
psiblast-non_iterative,pfam21_Q4B4K0_Q4B4K0_9BURK,,,,,,15.93,
psiblast-non_iterative,pfam21_Q4BJJ7_Q4BJJ7_BURVI,,,,,,23.89,
psiblast-non_iterative,pfam21_Q4BNE7_Q4BNE7_BURVI,,,,,,41.29,
psiblast-non_iterative,pfam21_Q4BSM5_Q4BSM5_BURVI,,,,,,21.21,
psiblast-non_iterative,pfam21_Q4IEI3_Q4IEI3_GIBZE,,,,,,29.72,
psiblast-non_iterative,pfam21_Q4ING2_Q4ING2_GIBZE,,,,,,31.13,
psiblast-non_iterative,pfam21_Q4LSB6_Q4LSB6_9BURK,,,,,,24.63,
psiblast-non_iterative,pfam21_Q50PU3_Q50PU3_ENTHI,,,,,,16.42,
psiblast-non_iterative,pfam21_Q50QX4_Q50QX4_ENTHI,,,,,,38.77,
psiblast-non_iterative,pfam21_Q6BS14_Q6BS14_DEBHA,,,,,,27.03,
psiblast-non_iterative,pfam21_Q6IE36_Q6IE36_HUMAN,,,,,,20.13,
psiblast-non_iterative,pfam21_Q7R2C6_Q7R2C6_GIALA,,,,,,27.67,
psiblast-non_iterative,pfam21_Q96I86_Q96I86_HUMAN,,,,,,27.38,
psiblast-non_iterative,pfam21_Q9I181_Q9I181_PSEAE,,,,,,44.20,
psiblast-non_iterative,pfam21_Q9XUC3_Q9XUC3_CAEEL,,,,,,34.92,
psiblast-non_iterative,up_O29217_O29217_ARCFU,,,,,,37.62,
psiblast-non_iterative,up_O66971_O66971_AQUAE,,,,,,13.42,
psiblast-non_iterative,up_O69146_O69146_BACSU,,,,,,41.53,
psiblast-non_iterative,up_O93775_O93775_HALSA,,,,,,27.65,
psiblast-non_iterative,up_P37383_RAD51_CHICK,,,,,,10.42,
psiblast-non_iterative,up_P67637_XERD_MYCBO,,,,,,15.34,
psiblast-non_iterative,up_Q08277_HSP82_MAIZE,,,,,,28.15,
psiblast-non_iterative,up_Q1L5Y1_Q1L5Y1_9FILI,,,,,,24.69,
psiblast-non_iterative,up_Q1LDM0_Q1LDM0_RALME,,,,,,18.24,
psiblast-non_iterative,up_Q1LKM7_Q1LKM7_RALME,,,,,,20.42,
psiblast-non_iterative,up_Q1N5Y1_Q1N5Y1_9GAMM,,,,,,28.46,
psiblast-non_iterative,up_Q1NJ45_Q1NJ45_9DELT,,,,,,20.85,
psiblast-non_iterative,up_Q1PK48_Q1PK48_PROMA,,,,,,23.02,
psiblast-non_iterative,up_Q1RS65_Q1RS65_BACAM,,,,,,45.02,
psiblast-non_iterative,up_Q1V6G1_Q1V6G1_VIBAL,,,,,,15.57,
psiblast-non_iterative,up_Q1YQ41_Q1YQ41_9GAMM,,,,,,26.37,
psiblast-non_iterative,up_Q1YR66_Q1YR66_9GAMM,,,,,,22.97,
psiblast-non_iterative,up_Q1Z4J2_Q1Z4J2_PHOPR,,,,,,23.82,
psiblast-non_iterative,up_Q1ZJZ0_Q1ZJZ0_PHOAS,,,,,,20.70,
psiblast-non_iterative,up_Q1ZMJ0_Q1ZMJ0_PHOAS,,,,,,34.31,
psiblast-non_iterative,up_Q1ZZK0_Q1ZZK0_9BACT,,,,,,30.22,
psiblast-non_iterative,up_Q20WY3_Q20WY3_RHOPB,,,,,,21.92,
psiblast-non_iterative,up_Q21HH3_EFTS_SACD2,,,,,,17.03,
psiblast-non_iterative,up_Q2GK25_OBG_ANAPZ,,,,,,17.48,
psiblast-non_iterative,up_Q2H719_Q2H719_CHAGB,,,,,,15.10,
psiblast-non_iterative,up_Q2JEI1_Q2JEI1_FRASC,,,,,,43.83,
psiblast-non_iterative,up_Q2JS57_Q2JS57_SYNJA,,,,,,11.20,
psiblast-non_iterative,up_Q2K578_Q2K578_RHIEC,,,,,,22.76,
psiblast-non_iterative,up_Q2L227_Q2L227_BORA1,,,,,,22.27,
psiblast-non_iterative,up_Q2L9C1_Q2L9C1_HUMAN,,,,,,34.60,
psiblast-non_iterative,up_Q2LXV6_Q2LXV6_SYNAS,,,,,,21.68,
psiblast-non_iterative,up_Q2NFN7_Q2NFN7_METST,,,,,,19.30,
psiblast-non_iterative,up_Q2SIL6_Q2SIL6_HAHCH,,,,,,31.65,
psiblast-non_iterative,up_Q2SLI8_Q2SLI8_HAHCH,,,,,,18.31,
psiblast-non_iterative,up_Q2SUV4_Q2SUV4_BURTA,,,,,,20.07,
psiblast-non_iterative,up_Q2SW15_Q2SW15_BURTA,,,,,,47.19,
psiblast-non_iterative,up_Q2W2T1_Q2W2T1_MAGSA,,,,,,17.47,
psiblast-non_iterative,up_Q30ZL8_Q30ZL8_DESDG,,,,,,32.38,
psiblast-non_iterative,up_Q316S6_Q316S6_DESDG,,,,,,30.46,
psiblast-non_iterative,up_Q31LY4_Q31LY4_SYNE7,,,,,,23.69,
psiblast-non_iterative,up_Q331Q2_Q331Q2_9ACTO,,,,,,44.56,
psiblast-non_iterative,up_Q39TR9_Q39TR9_GEOMG,,,,,,28.38,
psiblast-non_iterative,up_Q3B0D6_Q3B0D6_SYNS9,,,,,,35.92,
psiblast-non_iterative,up_Q3B2B0_Q3B2B0_PELLD,,,,,,19.41,
psiblast-non_iterative,up_Q3B624_Q3B624_PELLD,,,,,,19.44,
psiblast-non_iterative,up_Q3BQ87_Q3BQ87_XANC5,,,,,,23.25,
psiblast-non_iterative,up_Q3IKB8_DNLJ_PSEHT,,,,,,17.40,
psiblast-non_iterative,up_Q3IKL4_Q3IKL4_PSEHT,,,,,,26.34,
psiblast-non_iterative,up_Q3ISQ5_Q3ISQ5_NATPD,,,,,,41.21,
psiblast-non_iterative,up_Q3JG50_Q3JG50_BURP1,,,,,,26.07,
psiblast-non_iterative,up_Q3LWD4_Q3LWD4_BIGNA,,,,,,35.17,
psiblast-non_iterative,up_Q3M5I1_Q3M5I1_ANAVT,,,,,,25.81,
