#GI	Number_of_domains	Repeated_domain?	Embedded_domain(s)?
pfam21_Q40577_5EAS_TOBAC	2	0	0
up_O70212_5HT3A_CAVPO	2	0	0
up_P46098_5HT3A_HUMAN	2	0	0
up_P23979_5HT3A_MOUSE	2	0	0
up_P35563_5HT3A_RAT	2	0	0
up_P40433_6P21_YEAST	2	0	0
up_P14046_A1I3_RAT	5	0	0
pfam21_P28665_MUG1_MOUSE	5	0	0
up_P28666_MUG2_MOUSE	5	0	0
pfam21_P01023_A2MG_HUMAN	5	0	0
pfam21_Q61838_A2MG_MOUSE	5	0	0
pfam21_P06238_A2MG_RAT	5	0	0
up_Q9NP58_ABCB6_HUMAN	2	0	0
up_Q9JJ59_ABCB9_MOUSE	2	0	0
pfam21_P19801_ABP1_HUMAN	3	1	0
up_P36633_ABP1_RAT	3	1	0
up_P11140_ABRA_ABRPR	3	1	0
up_Q06077_ABRB_ABRPR	3	1	0
up_P28590_ABRC_ABRPR	3	1	0
pfam21_Q09428_ABCC8_HUMAN	4	1	0
pfam21_Q09429_ABCC8_RAT	4	1	0
up_P82451_ABCC9_RABIT	4	1	0
up_Q9ZLS3_ACCA_HELPJ	2	1	0
up_O25283_ACCA_HELPY	2	1	0
up_P48180_ACH1_CAEEL	2	0	0
up_P09478_ACH1_DROME	2	0	0
up_P91766_ACH1_MANSE	2	0	0
up_P23414_ACH1_SCHGR	2	0	0
up_P22456_ACHAA_XENLA	2	0	0
up_P48181_ACH2_CAEEL	2	0	0
up_P09480_ACHA2_CHICK	2	0	0
up_P17644_ACH2_DROME	2	0	0
up_Q15822_ACHA2_HUMAN	2	0	0
pfam21_P12389_ACHA2_RAT	2	0	0
up_P05377_ACHAB_XENLA	2	0	0
up_Q07263_ACHA3_BOVIN	2	0	0
up_P54244_ACH3_CAEEL	2	0	0
up_P18845_ACHA3_CARAU	2	0	0
up_P09481_ACHA3_CHICK	2	0	0
up_P04755_ACH3_DROME	2	0	0
pfam21_P32297_ACHA3_HUMAN	2	0	0
up_P04757_ACHA3_RAT	2	0	0
up_P48182_ACR2_CAEEL	2	0	0
up_P09482_ACHA4_CHICK	2	0	0
up_P25162_ACH4_DROME	2	0	0
up_P43681_ACHA4_HUMAN	2	0	0
up_O70174_ACHA4_MOUSE	2	0	0
up_P09483_ACHA4_RAT	2	0	0
up_Q23022_ACH5_CAEEL	2	0	0
up_P26152_ACHA5_CHICK	2	0	0
up_P30532_ACHA5_HUMAN	2	0	0
up_P20420_ACHA5_RAT	2	0	0
up_Q93149_ACR3_CAEEL	2	0	0
up_P49581_ACHA6_CHICK	2	0	0
up_Q15825_ACHA6_HUMAN	2	0	0
up_P43143_ACHA6_RAT	2	0	0
up_P54131_ACHA7_BOVIN	2	0	0
up_Q27218_ACH7_CAEEL	2	0	0
up_P22770_ACHA7_CHICK	2	0	0
up_P36544_ACHA7_HUMAN	2	0	0
up_P49582_ACHA7_MOUSE	2	0	0
pfam21_Q05941_ACHA7_RAT	2	0	0
up_P45963_ACR7_CAEEL	2	0	0
up_Q9UGM1_ACHA9_HUMAN	2	0	0
up_P43144_ACHA9_RAT	2	0	0
up_P02709_ACHA_BOVIN	2	0	0
up_Q98880_ACHA_DANRE	2	0	0
up_P09479_ACHA_CHICK	2	0	0
up_P02708_ACHA_HUMAN	2	0	0
up_P04756_ACHA_MOUSE	2	0	0
up_P25108_ACHA_RAT	2	0	0
up_P02710_ACHA_TORCA	2	0	0
up_P02711_ACHA_TORMA	2	0	0
up_P04758_ACHB_BOVIN	2	0	0
up_P11230_ACHB_HUMAN	2	0	0
pfam21_P09690_ACHB_MOUSE	2	0	0
up_P25109_ACHB_RAT	2	0	0
up_P02712_ACHB_TORCA	2	0	0
up_P49579_ACHB_XENLA	2	0	0
up_P04759_ACHD_BOVIN	2	0	0
up_P02717_ACHD_CHICK	2	0	0
up_Q07001_ACHD_HUMAN	2	0	0
up_P02716_ACHD_MOUSE	2	0	0
up_P25110_ACHD_RAT	2	0	0
up_P02718_ACHD_TORCA	2	0	0
up_P09628_ACHD_XENLA	2	0	0
up_P02715_ACHE_BOVIN	2	0	0
up_Q04844_ACHE_HUMAN	2	0	0
up_P20782_ACHE_MOUSE	2	0	0
up_P09660_ACHE_RAT	2	0	0
up_P49580_ACHE_XENLA	2	0	0
